"id_parents";"id_etudiant";"pere_vivant";"nom_pere";"prenom_pere";"email_pere";"niveau_instruction_pere";"niveau_socioprofessionnel_pere";"revenu_mensuel_pere_fcfa";"mere_vivante";"nom_mere";"prenom_mere";"email_mere";"niveau_instruction_mere";"niveau_socioprofessionnel_mere";"revenu_mensuel_mere_fcfa";"nb_enfants_famille";"revenu_total_famille_fcfa";"rang_dans_fratrie";"famille_monoparentale";"soutien_financier_famille"
"11";"11";"1";"Simon";"Albert";"al.simo.p11@gmail.com";"Primaire";"Fonctionnaire";"144720";"1";"Simon";"Pauline";"pa.simo.m11@gmail.com";"Baccalauréat";"Employé secteur informel";"72290";"4";"217010";"2";"1";"Partiel"
"12";"12";"1";"Martin";"Marcel";"ma.mart.p12@gmail.com";"BTS/DUT";"Employé secteur informel";"55698";"1";"Martin";"Christine";"";"Baccalauréat";"Cadre moyen";"303316";"5";"359014";"3";"0";"Partiel"
"13";"13";"1";"Issa";"Alphonse";"al.issa.p13@gmail.com";"Aucun";"Employé secteur informel";"41360";"1";"Issa";"Brigitte";"br.issa.m13@gmail.com";"BEPC/FSLC";"Fonctionnaire";"100238";"3";"141598";"3";"0";"Total"
"14";"14";"1";"Richard";"Clément";"cl.rich.p14@gmail.com";"BEPC/FSLC";"Cadre moyen";"204561";"1";"Richard";"Thérèse";"th.rich.m14@gmail.com";"Licence";"Employé secteur informel";"93215";"7";"297776";"3";"0";"Partiel"
"15";"15";"1";"Rodrigues";"Félix";"fé.rodr.p15@gmail.com";"Primaire";"Employé secteur informel";"77419";"1";"Kamga";"Marguerite";"ma.kamg.m15@gmail.com";"BEPC/FSLC";"Ouvrier/Artisan";"73890";"2";"151309";"5";"0";"Partiel"
"16";"16";"1";"Leroy";"Etienne";"et.lero.p16@gmail.com";"Primaire";"Agriculteur/Éleveur";"69731";"1";"Ndzana";"Rose";"ro.ndza.m16@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"57420";"2";"127151";"4";"0";"Total"
"17";"17";"1";"Ndzana";"Henri";"he.ndza.p17@gmail.com";"BEPC/FSLC";"Agriculteur/Éleveur";"37648";"0";"Ndzana";"Thérèse";"th.ndza.m17@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"53387";"6";"91035";"2";"0";"Partiel"
"18";"18";"1";"Atangana";"Albert";"al.atan.p18@gmail.com";"Licence";"Employé secteur informel";"44907";"1";"Atangana";"Brigitte";"br.atan.m18@gmail.com";"BEPC/FSLC";"Fonctionnaire";"106793";"6";"151700";"1";"0";"Total"
"19";"19";"1";"Wamba";"Etienne";"et.wamb.p19@gmail.com";"Primaire";"Fonctionnaire";"148448";"0";"Wamba";"Brigitte";"br.wamb.m19@gmail.com";"Aucun";"Employé secteur informel";"84801";"3";"233249";"1";"0";"Aucun"
"20";"20";"1";"Toure";"Alphonse";"al.tour.p20@gmail.com";"Licence";"Fonctionnaire";"194207";"1";"Toure";"Pauline";"pa.tour.m20@gmail.com";"BEPC/FSLC";"Agriculteur/Éleveur";"71564";"7";"265771";"1";"0";"Total"
"21";"21";"1";"Richard";"Hervé";"he.rich.p21@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"39785";"1";"Richard";"Thérèse";"th.rich.m21@gmail.com";"BEPC/FSLC";"Fonctionnaire";"157142";"5";"196927";"3";"1";"Total"
"22";"22";"1";"Thomas";"Félix";"fé.thom.p22@gmail.com";"Aucun";"Employé secteur informel";"53416";"1";"Thomas";"Hélène";"hé.thom.m22@gmail.com";"Baccalauréat";"Sans emploi";"17646";"3";"71062";"5";"0";"Partiel"
"23";"23";"1";"Biyong";"Paul";"pa.biyo.p23@gmail.com";"Master/Grande école";"Ouvrier/Artisan";"90538";"1";"Biyong";"Thérèse";"th.biyo.m23@gmail.com";"Primaire";"Fonctionnaire";"187449";"3";"277987";"3";"0";"Partiel"
"24";"24";"1";"Abomo";"Etienne";"et.abom.p24@gmail.com";"Baccalauréat";"Cadre supérieur";"611631";"1";"Haidara";"Odette";"od.haid.m24@gmail.com";"Licence";"Cadre moyen";"392470";"7";"1004101";"3";"1";"Total"
"25";"25";"1";"Richard";"Armand";"ar.rich.p25@gmail.com";"Doctorat";"Chef d'entreprise";"1214029";"1";"Zobel";"Julienne";"ju.zobe.m25@gmail.com";"BTS/DUT";"Cadre supérieur";"852690";"7";"2066719";"4";"0";"Total"
"26";"26";"0";"Vidal";"Gérard";"";"Baccalauréat";"Fonctionnaire";"113268";"1";"Vidal";"Adèle";"ad.vida.m26@gmail.com";"Primaire";"Cadre supérieur";"791841";"7";"905109";"2";"0";"Total"
"27";"27";"1";"Simon";"Pierre";"pi.simo.p27@gmail.com";"Baccalauréat";"Ouvrier/Artisan";"88872";"1";"Simon";"Hélène";"hé.simo.m27@gmail.com";"Master/Grande école";"Employé secteur informel";"49839";"2";"138711";"1";"0";"Partiel"
"28";"28";"1";"Richard";"Pierre";"pi.rich.p28@gmail.com";"Licence";"Ouvrier/Artisan";"66006";"1";"Mbarga";"Brigitte";"br.mbar.m28@gmail.com";"BEPC/FSLC";"Employé secteur informel";"74908";"5";"140914";"5";"0";"Partiel"
"29";"29";"1";"Leroy";"Hervé";"he.lero.p29@gmail.com";"BTS/DUT";"Ouvrier/Artisan";"61681";"1";"Leroy";"Madeleine";"ma.lero.m29@gmail.com";"BTS/DUT";"Ouvrier/Artisan";"52575";"6";"114256";"2";"0";"Total"
"30";"30";"1";"Tchio";"Gérard";"gé.tchi.p30@gmail.com";"BEPC/FSLC";"Ouvrier/Artisan";"67874";"1";"Tchio";"Angèle";"an.tchi.m30@gmail.com";"Licence";"Employé secteur informel";"89186";"3";"157060";"2";"1";"Partiel"
"31";"31";"0";"Medjo";"Charles";"ch.medj.p31@gmail.com";"Primaire";"Cadre moyen";"364504";"1";"Nyobe";"Marie";"";"Doctorat";"Cadre moyen";"334085";"4";"698589";"2";"0";"Total"
"32";"32";"1";"Vidal";"Charles";"ch.vida.p32@gmail.com";"Primaire";"Chef d'entreprise";"1165742";"0";"Vidal";"Rosalie";"ro.vida.m32@gmail.com";"Licence";"Sans emploi";"30705";"8";"1196447";"1";"0";"Partiel"
"33";"33";"1";"Etoundi";"Etienne";"";"Baccalauréat";"Cadre moyen";"255713";"1";"Etoundi";"Madeleine";"ma.etou.m33@gmail.com";"BEPC/FSLC";"Cadre moyen";"316119";"4";"571832";"1";"0";"Total"
"34";"34";"1";"Toure";"Jean";"je.tour.p34@gmail.com";"BTS/DUT";"Employé secteur informel";"90965";"1";"Toure";"Victoire";"vi.tour.m34@gmail.com";"BEPC/FSLC";"Sans emploi";"13541";"8";"104506";"3";"0";"Total"
"35";"35";"0";"Rodrigues";"Victor";"vi.rodr.p35@gmail.com";"Licence";"Cadre supérieur";"782754";"1";"Rodrigues";"Hélène";"hé.rodr.m35@gmail.com";"Licence";"Chef d'entreprise";"746138";"4";"1528892";"3";"0";"Total"
"36";"36";"1";"Ndzana";"Paul";"pa.ndza.p36@gmail.com";"Master/Grande école";"Cadre supérieur";"438343";"1";"Dubois";"Madeleine";"ma.dubo.m36@gmail.com";"Baccalauréat";"Ouvrier/Artisan";"87030";"5";"525373";"3";"1";"Total"
"37";"37";"1";"Zobel";"Laurent";"la.zobe.p37@gmail.com";"Master/Grande école";"Chef d'entreprise";"290449";"1";"Zobel";"Blandine";"bl.zobe.m37@gmail.com";"Licence";"Fonctionnaire";"91649";"6";"382098";"5";"0";"Total"
"38";"38";"1";"Camara";"Laurent";"la.cama.p38@gmail.com";"Primaire";"Sans emploi";"30208";"1";"Camara";"Adèle";"ad.cama.m38@gmail.com";"Baccalauréat";"Fonctionnaire";"128412";"4";"158620";"5";"0";"Total"
"39";"39";"1";"Bernard";"Marcel";"ma.bern.p39@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"32248";"0";"Abomo";"Pauline";"pa.abom.m39@gmail.com";"Baccalauréat";"Employé secteur informel";"94896";"5";"127144";"5";"0";"Partiel"
"40";"40";"1";"Tchio";"Roger";"ro.tchi.p40@gmail.com";"Licence";"Cadre moyen";"276404";"1";"Tchio";"Angèle";"an.tchi.m40@gmail.com";"BTS/DUT";"Employé secteur informel";"62826";"3";"339230";"4";"1";"Total"
"41";"41";"1";"Haidara";"Roger";"ro.haid.p41@gmail.com";"Primaire";"Employé secteur informel";"65028";"1";"Tchamba";"Suzanne";"su.tcha.m41@gmail.com";"Baccalauréat";"Agriculteur/Éleveur";"84127";"5";"149155";"4";"0";"Partiel"
"42";"42";"1";"Atangana";"Georges";"ge.atan.p42@gmail.com";"Master/Grande école";"Cadre supérieur";"556248";"1";"Essama";"Colette";"";"Primaire";"Ouvrier/Artisan";"51429";"3";"607677";"2";"0";"Partiel"
"43";"43";"1";"Garcia";"Emmanuel";"em.garc.p43@gmail.com";"Licence";"Fonctionnaire";"100834";"1";"Lobe";"Martine";"ma.lobe.m43@gmail.com";"BTS/DUT";"Fonctionnaire";"161937";"5";"262771";"2";"1";"Total"
"44";"44";"1";"Onana";"André";"an.onan.p44@gmail.com";"BTS/DUT";"Sans emploi";"30345";"0";"Onana";"Madeleine";"ma.onan.m44@gmail.com";"BTS/DUT";"Sans emploi";"33582";"7";"63927";"1";"1";"Aucun"
"45";"45";"1";"Gomis";"Théodore";"th.gomi.p45@gmail.com";"BTS/DUT";"Agriculteur/Éleveur";"70325";"1";"Gomis";"Pauline";"pa.gomi.m45@gmail.com";"Baccalauréat";"Employé secteur informel";"41374";"6";"111699";"5";"0";"Aucun"
"46";"46";"1";"Samba";"Paul";"pa.samb.p46@gmail.com";"BEPC/FSLC";"Agriculteur/Éleveur";"86436";"1";"Samba";"Colette";"co.samb.m46@gmail.com";"Baccalauréat";"Sans emploi";"14905";"6";"101341";"2";"0";"Aucun"
"47";"47";"1";"Kamga";"Paul";"pa.kamg.p47@gmail.com";"BTS/DUT";"Ouvrier/Artisan";"93463";"1";"Kamga";"Blandine";"bl.kamg.m47@gmail.com";"Primaire";"Agriculteur/Éleveur";"75996";"4";"169459";"3";"1";"Aucun"
"48";"48";"1";"Nguema";"Roger";"ro.ngue.p48@gmail.com";"BEPC/FSLC";"Agriculteur/Éleveur";"41361";"1";"Nguema";"Brigitte";"br.ngue.m48@gmail.com";"Master/Grande école";"Fonctionnaire";"204752";"6";"246113";"2";"0";"Total"
"49";"49";"1";"Robert";"Henri";"he.robe.p49@gmail.com";"BEPC/FSLC";"Cadre moyen";"171175";"1";"Robert";"Christine";"";"Doctorat";"Chef d'entreprise";"1351860";"5";"1523035";"2";"0";"Aucun"
