"id_etudiant";"matricule";"email_etudiant";"nom";"prenom";"genre";"date_naissance";"niveau_socio_economique";"id_filiere";"annee_entree";"ville_origine";"situation_matrimoniale";"nb_enfants_a_charge";"estime_de_soi";"trait_personnalite";"mention_baccalaureat";"serie_terminale";"decrochage_anterieur";"frequence_etude_lecons";"interet_lecture_ecriture"
"24";"ETU0024";"didiera0024@yahoo.fr";"Abomo";"Didier";"M";"2002-12-13";"Élevé";"9";"2023";"Maroua";"En couple";"0";"Faible";"Anxieux";"Assez Bien";"C";"0";"Régulièrement";"Élevé"
"25";"ETU0025";"lrichard0025@orange.cm";"Richard";"Louis";"M";"2005-05-06";"Élevé";"7";"2023";"Yaoundé";"Célibataire";"2";"Moyenne";"Consciencieux";"Bien";"G";"0";"Régulièrement";"Élevé"
"26";"ETU0026";"fatimav0026@outlook.com";"Vidal";"Fatima";"F";"2002-06-04";"Élevé";"7";"2020";"Maroua";"Célibataire";"0";"Élevée";"Introverti";"Assez Bien";"D";"0";"Rarement";"Élevé"
"27";"ETU0027";"madeleine.simon0027@gmail.com";"Simon";"Madeleine";"F";"1999-01-21";"Moyen";"4";"2021";"Maroua";"En couple";"0";"Moyenne";"Consciencieux";"Très Bien";"F";"0";"Rarement";"Faible"
"28";"ETU0028";"grichard0028@hotmail.fr";"Richard";"Gisèle";"F";"2001-08-18";"Faible";"4";"2021";"Bertoua";"En couple";"1";"Élevée";"Ambiverti";"Assez Bien";"G";"0";"Régulièrement";"Faible"
"29";"ETU0029";"cleroy0029@yahoo.fr";"Leroy";"Christophe";"M";"2005-06-11";"Moyen";"9";"2023";"Ngaoundéré";"Célibataire";"0";"Élevée";"Anxieux";"Passable";"C";"0";"Intensivement";"Moyen"
"30";"ETU0030";"ftchio0030@hotmail.fr";"Tchio";"Flore";"F";"2000-08-02";"Faible";"10";"2022";"Ngaoundéré";"Célibataire";"1";"Faible";"Extraverti";"Passable";"A";"0";"Intensivement";"Élevé"
"31";"ETU0031";"vincent.medjo0031@yahoo.fr";"Medjo";"Vincent";"M";"2004-06-21";"Moyen";"8";"2020";"Maroua";"Célibataire";"1";"Moyenne";"Extraverti";"Très Bien";"D";"0";"Intensivement";"Faible"
"32";"ETU0032";"carlosv0032@yahoo.fr";"Vidal";"Carlos";"M";"1998-05-12";"Moyen";"3";"2021";"Maroua";"Célibataire";"0";"Moyenne";"Introverti";"Passable";"D";"0";"Rarement";"Élevé"
"33";"ETU0033";"retoundi0033@yahoo.fr";"Etoundi";"Reine";"F";"1998-08-10";"Moyen";"3";"2020";"Ngaoundéré";"Divorcé(e)";"1";"Élevée";"Introverti";"Très Bien";"D";"0";"Parfois";"Moyen"
"34";"ETU0034";"nollet0034@yahoo.fr";"Toure";"Noëlle";"F";"2002-01-27";"Moyen";"5";"2020";"Garoua";"En couple";"0";"Élevée";"Consciencieux";"Très Bien";"D";"0";"Intensivement";"Élevé"
"35";"ETU0035";"pascal.rodrigues0035@outlook.com";"Rodrigues";"Pascal";"M";"2000-11-04";"Élevé";"1";"2022";"Maroua";"Célibataire";"0";"Élevée";"Anxieux";"Passable";"C";"0";"Intensivement";"Moyen"
"36";"ETU0036";"quentin.ndzana0036@orange.cm";"Ndzana";"Quentin";"M";"2005-05-24";"Élevé";"2";"2023";"Maroua";"Célibataire";"0";"Élevée";"Extraverti";"Bien";"D";"0";"Parfois";"Élevé"
"37";"ETU0037";"dzobel0037@outlook.com";"Zobel";"Didier";"M";"2002-10-13";"Élevé";"6";"2020";"Ngaoundéré";"En couple";"2";"Faible";"Extraverti";"Assez Bien";"F";"0";"Intensivement";"Moyen"
"38";"ETU0038";"icamara0038@gmail.com";"Camara";"Ibrahim";"M";"1998-05-16";"Faible";"4";"2021";"Ngaoundéré";"Célibataire";"0";"Moyenne";"Ambiverti";"Très Bien";"D";"0";"Régulièrement";"Faible"
"39";"ETU0039";"carolea0039@gmail.com";"Abomo";"Carole";"F";"2003-04-15";"Moyen";"4";"2022";"Garoua";"Marié(e)";"1";"Moyenne";"Introverti";"Assez Bien";"A";"0";"Intensivement";"Élevé"
"40";"ETU0040";"davidt0040@hotmail.fr";"Tchio";"David";"M";"2003-04-05";"Moyen";"4";"2020";"Bafoussam";"Célibataire";"1";"Moyenne";"Introverti";"Bien";"C";"0";"Parfois";"Élevé"
"41";"ETU0041";"lhaidara0041@gmail.com";"Haidara";"Laura";"F";"1998-03-01";"Moyen";"4";"2022";"Yaoundé";"Célibataire";"0";"Faible";"Ambiverti";"Assez Bien";"D";"0";"Régulièrement";"Élevé"
"42";"ETU0042";"fessama0042@yahoo.fr";"Essama";"Françoise";"F";"1998-01-16";"Élevé";"7";"2020";"Maroua";"Célibataire";"0";"Moyenne";"Anxieux";"Assez Bien";"A";"0";"Parfois";"Élevé"
"43";"ETU0043";"irne.garcia0043@yahoo.fr";"Garcia";"Irène";"F";"2004-02-26";"Moyen";"9";"2021";"Bertoua";"Célibataire";"2";"Moyenne";"Consciencieux";"Assez Bien";"D";"0";"Régulièrement";"Moyen"
"44";"ETU0044";"franoiso0044@yahoo.fr";"Onana";"François";"M";"1999-02-14";"Faible";"6";"2021";"Maroua";"Célibataire";"2";"Élevée";"Introverti";"Bien";"D";"0";"Parfois";"Élevé"
"45";"ETU0045";"ygomis0045@hotmail.fr";"Gomis";"Yvonne";"F";"2001-03-22";"Moyen";"2";"2022";"Maroua";"Célibataire";"0";"Faible";"Ambiverti";"Passable";"D";"0";"Parfois";"Élevé"
"46";"ETU0046";"louiss0046@gmail.com";"Samba";"Louis";"M";"2002-06-12";"Faible";"3";"2023";"Douala";"Célibataire";"1";"Moyenne";"Consciencieux";"Bien";"C";"0";"Jamais";"Faible"
"47";"ETU0047";"jkamga0047@yahoo.fr";"Kamga";"Jean";"M";"1998-11-03";"Faible";"7";"2023";"Ngaoundéré";"Célibataire";"0";"Faible";"Introverti";"Passable";"D";"0";"Régulièrement";"Moyen"
"48";"ETU0048";"alain.nguema0048@gmail.com";"Nguema";"Alain";"M";"2002-04-25";"Faible";"5";"2022";"Yaoundé";"Célibataire";"0";"Moyenne";"Extraverti";"Passable";"D";"0";"Parfois";"Moyen"
"49";"ETU0049";"brobert0049@gmail.com";"Robert";"Béatrice";"F";"1999-06-19";"Moyen";"7";"2023";"Ngaoundéré";"Célibataire";"1";"Faible";"Introverti";"Bien";"D";"0";"Parfois";"Élevé"
