id_parents,id_etudiant,pere_vivant,nom_pere,prenom_pere,email_pere,niveau_instruction_pere,niveau_socioprofessionnel_pere,revenu_mensuel_pere_fcfa,mere_vivante,nom_mere,prenom_mere,email_mere,niveau_instruction_mere,niveau_socioprofessionnel_mere,revenu_mensuel_mere_fcfa,nb_enfants_famille,revenu_total_famille_fcfa,rang_dans_fratrie,famille_monoparentale,soutien_financier_famille
12,12,1,Martin,Marcel,ma.mart.p12@gmail.com,BTS/DUT,Employé secteur informel,55698,1,Martin,Christine,,Baccalauréat,Cadre moyen,303316,5,359014,3,0,Partiel
13,13,1,Issa,Alphonse,al.issa.p13@gmail.com,Aucun,Employé secteur informel,41360,1,Issa,Brigitte,br.issa.m13@gmail.com,BEPC/FSLC,Fonctionnaire,100238,3,141598,3,0,Total
14,14,1,Richard,Clément,cl.rich.p14@gmail.com,BEPC/FSLC,Cadre moyen,204561,1,Richard,Thérèse,th.rich.m14@gmail.com,Licence,Employé secteur informel,93215,7,297776,3,0,Partiel
15,15,1,Rodrigues,Félix,fé.rodr.p15@gmail.com,Primaire,Employé secteur informel,77419,1,Kamga,Marguerite,ma.kamg.m15@gmail.com,BEPC/FSLC,Ouvrier/Artisan,73890,2,151309,5,0,Partiel
16,16,1,Leroy,Etienne,et.lero.p16@gmail.com,Primaire,Agriculteur/Éleveur,69731,1,Ndzana,Rose,ro.ndza.m16@gmail.com,Baccalauréat,Agriculteur/Éleveur,57420,2,127151,4,0,Total
17,17,1,Ndzana,Henri,he.ndza.p17@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,37648,0,Ndzana,Thérèse,th.ndza.m17@gmail.com,Baccalauréat,Agriculteur/Éleveur,53387,6,91035,2,0,Partiel
18,18,1,Atangana,Albert,al.atan.p18@gmail.com,Licence,Employé secteur informel,44907,1,Atangana,Brigitte,br.atan.m18@gmail.com,BEPC/FSLC,Fonctionnaire,106793,6,151700,1,0,Total
19,19,1,Wamba,Etienne,et.wamb.p19@gmail.com,Primaire,Fonctionnaire,148448,0,Wamba,Brigitte,br.wamb.m19@gmail.com,Aucun,Employé secteur informel,84801,3,233249,1,0,Aucun
20,20,1,Toure,Alphonse,al.tour.p20@gmail.com,Licence,Fonctionnaire,194207,1,Toure,Pauline,pa.tour.m20@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,71564,7,265771,1,0,Total
21,21,1,Richard,Hervé,he.rich.p21@gmail.com,Baccalauréat,Agriculteur/Éleveur,39785,1,Richard,Thérèse,th.rich.m21@gmail.com,BEPC/FSLC,Fonctionnaire,157142,5,196927,3,1,Total
22,22,1,Thomas,Félix,fé.thom.p22@gmail.com,Aucun,Employé secteur informel,53416,1,Thomas,Hélène,hé.thom.m22@gmail.com,Baccalauréat,Sans emploi,17646,3,71062,5,0,Partiel
23,23,1,Biyong,Paul,pa.biyo.p23@gmail.com,Master/Grande école,Ouvrier/Artisan,90538,1,Biyong,Thérèse,th.biyo.m23@gmail.com,Primaire,Fonctionnaire,187449,3,277987,3,0,Partiel
24,24,1,Abomo,Etienne,et.abom.p24@gmail.com,Baccalauréat,Cadre supérieur,611631,1,Haidara,Odette,od.haid.m24@gmail.com,Licence,Cadre moyen,392470,7,1004101,3,1,Total
25,25,1,Richard,Armand,ar.rich.p25@gmail.com,Doctorat,Chef d'entreprise,1214029,1,Zobel,Julienne,ju.zobe.m25@gmail.com,BTS/DUT,Cadre supérieur,852690,7,2066719,4,0,Total
26,26,0,Vidal,Gérard,,Baccalauréat,Fonctionnaire,113268,1,Vidal,Adèle,ad.vida.m26@gmail.com,Primaire,Cadre supérieur,791841,7,905109,2,0,Total
27,27,1,Simon,Pierre,pi.simo.p27@gmail.com,Baccalauréat,Ouvrier/Artisan,88872,1,Simon,Hélène,hé.simo.m27@gmail.com,Master/Grande école,Employé secteur informel,49839,2,138711,1,0,Partiel
28,28,1,Richard,Pierre,pi.rich.p28@gmail.com,Licence,Ouvrier/Artisan,66006,1,Mbarga,Brigitte,br.mbar.m28@gmail.com,BEPC/FSLC,Employé secteur informel,74908,5,140914,5,0,Partiel
29,29,1,Leroy,Hervé,he.lero.p29@gmail.com,BTS/DUT,Ouvrier/Artisan,61681,1,Leroy,Madeleine,ma.lero.m29@gmail.com,BTS/DUT,Ouvrier/Artisan,52575,6,114256,2,0,Total
30,30,1,Tchio,Gérard,gé.tchi.p30@gmail.com,BEPC/FSLC,Ouvrier/Artisan,67874,1,Tchio,Angèle,an.tchi.m30@gmail.com,Licence,Employé secteur informel,89186,3,157060,2,1,Partiel
31,31,0,Medjo,Charles,ch.medj.p31@gmail.com,Primaire,Cadre moyen,364504,1,Nyobe,Marie,,Doctorat,Cadre moyen,334085,4,698589,2,0,Total
32,32,1,Vidal,Charles,ch.vida.p32@gmail.com,Primaire,Chef d'entreprise,1165742,0,Vidal,Rosalie,ro.vida.m32@gmail.com,Licence,Sans emploi,30705,8,1196447,1,0,Partiel
33,33,1,Etoundi,Etienne,,Baccalauréat,Cadre moyen,255713,1,Etoundi,Madeleine,ma.etou.m33@gmail.com,BEPC/FSLC,Cadre moyen,316119,4,571832,1,0,Total
34,34,1,Toure,Jean,je.tour.p34@gmail.com,BTS/DUT,Employé secteur informel,90965,1,Toure,Victoire,vi.tour.m34@gmail.com,BEPC/FSLC,Sans emploi,13541,8,104506,3,0,Total
35,35,0,Rodrigues,Victor,vi.rodr.p35@gmail.com,Licence,Cadre supérieur,782754,1,Rodrigues,Hélène,hé.rodr.m35@gmail.com,Licence,Chef d'entreprise,746138,4,1528892,3,0,Total
36,36,1,Ndzana,Paul,pa.ndza.p36@gmail.com,Master/Grande école,Cadre supérieur,438343,1,Dubois,Madeleine,ma.dubo.m36@gmail.com,Baccalauréat,Ouvrier/Artisan,87030,5,525373,3,1,Total
37,37,1,Zobel,Laurent,la.zobe.p37@gmail.com,Master/Grande école,Chef d'entreprise,290449,1,Zobel,Blandine,bl.zobe.m37@gmail.com,Licence,Fonctionnaire,91649,6,382098,5,0,Total
38,38,1,Camara,Laurent,la.cama.p38@gmail.com,Primaire,Sans emploi,30208,1,Camara,Adèle,ad.cama.m38@gmail.com,Baccalauréat,Fonctionnaire,128412,4,158620,5,0,Total
39,39,1,Bernard,Marcel,ma.bern.p39@gmail.com,Baccalauréat,Agriculteur/Éleveur,32248,0,Abomo,Pauline,pa.abom.m39@gmail.com,Baccalauréat,Employé secteur informel,94896,5,127144,5,0,Partiel
40,40,1,Tchio,Roger,ro.tchi.p40@gmail.com,Licence,Cadre moyen,276404,1,Tchio,Angèle,an.tchi.m40@gmail.com,BTS/DUT,Employé secteur informel,62826,3,339230,4,1,Total
41,41,1,Haidara,Roger,ro.haid.p41@gmail.com,Primaire,Employé secteur informel,65028,1,Tchamba,Suzanne,su.tcha.m41@gmail.com,Baccalauréat,Agriculteur/Éleveur,84127,5,149155,4,0,Partiel
42,42,1,Atangana,Georges,ge.atan.p42@gmail.com,Master/Grande école,Cadre supérieur,556248,1,Essama,Colette,,Primaire,Ouvrier/Artisan,51429,3,607677,2,0,Partiel
43,43,1,Garcia,Emmanuel,em.garc.p43@gmail.com,Licence,Fonctionnaire,100834,1,Lobe,Martine,ma.lobe.m43@gmail.com,BTS/DUT,Fonctionnaire,161937,5,262771,2,1,Total
44,44,1,Onana,André,an.onan.p44@gmail.com,BTS/DUT,Sans emploi,30345,0,Onana,Madeleine,ma.onan.m44@gmail.com,BTS/DUT,Sans emploi,33582,7,63927,1,1,Aucun
45,45,1,Gomis,Théodore,th.gomi.p45@gmail.com,BTS/DUT,Agriculteur/Éleveur,70325,1,Gomis,Pauline,pa.gomi.m45@gmail.com,Baccalauréat,Employé secteur informel,41374,6,111699,5,0,Aucun
46,46,1,Samba,Paul,pa.samb.p46@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,86436,1,Samba,Colette,co.samb.m46@gmail.com,Baccalauréat,Sans emploi,14905,6,101341,2,0,Aucun
47,47,1,Kamga,Paul,pa.kamg.p47@gmail.com,BTS/DUT,Ouvrier/Artisan,93463,1,Kamga,Blandine,bl.kamg.m47@gmail.com,Primaire,Agriculteur/Éleveur,75996,4,169459,3,1,Aucun
48,48,1,Nguema,Roger,ro.ngue.p48@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,41361,1,Nguema,Brigitte,br.ngue.m48@gmail.com,Master/Grande école,Fonctionnaire,204752,6,246113,2,0,Total
49,49,1,Robert,Henri,he.robe.p49@gmail.com,BEPC/FSLC,Cadre moyen,171175,1,Robert,Christine,,Doctorat,Chef d'entreprise,1351860,5,1523035,2,0,Aucun
50,50,1,Umba,Alphonse,al.umba.p50@gmail.com,Licence,Employé secteur informel,90565,1,Camara,Adèle,ad.cama.m50@gmail.com,Master/Grande école,Sans emploi,19228,5,109793,3,1,Aucun
51,51,1,Nyobe,Jean,,Baccalauréat,Cadre moyen,233213,1,Simon,Madeleine,ma.simo.m51@gmail.com,BTS/DUT,Ouvrier/Artisan,103408,5,336621,2,0,Total
52,52,1,Onana,Théodore,th.onan.p52@gmail.com,Primaire,Fonctionnaire,216799,1,Onana,Brigitte,br.onan.m52@gmail.com,Baccalauréat,Cadre supérieur,842342,2,1059141,5,1,Total
53,53,1,Nyobe,Roger,ro.nyob.p53@gmail.com,BEPC/FSLC,Cadre moyen,376045,1,Nyobe,Brigitte,br.nyob.m53@gmail.com,BEPC/FSLC,Employé secteur informel,94297,3,470342,2,1,Aucun
54,54,1,Moreau,Georges,,BTS/DUT,Agriculteur/Éleveur,34489,1,Moreau,Marie,ma.more.m54@gmail.com,BEPC/FSLC,Cadre moyen,317785,4,352274,5,0,Total
55,55,1,Abomo,Henri,he.abom.p55@gmail.com,Primaire,Fonctionnaire,207694,1,Abomo,Angèle,,BEPC/FSLC,Chef d'entreprise,262920,1,470614,1,0,Total
56,56,1,Issa,Etienne,et.issa.p56@gmail.com,Doctorat,Ouvrier/Artisan,60623,1,Nguema,Madeleine,ma.ngue.m56@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,69067,6,129690,1,0,Partiel
57,57,1,Etoundi,Laurent,,BEPC/FSLC,Agriculteur/Éleveur,31257,1,Biyong,Martine,ma.biyo.m57@gmail.com,Licence,Sans emploi,2970,8,34227,5,0,Partiel
58,58,1,Samba,Félix,fé.samb.p58@gmail.com,Master/Grande école,Cadre supérieur,759347,1,Samba,Pauline,pa.samb.m58@gmail.com,Licence,Cadre moyen,201018,3,960365,4,0,Total
59,59,1,Camara,Armand,,Doctorat,Cadre supérieur,847681,1,Camara,Yvette,yv.cama.m59@gmail.com,BTS/DUT,Fonctionnaire,115410,7,963091,3,0,Total
60,60,0,Zobel,Patrice,pa.zobe.p60@gmail.com,Doctorat,Employé secteur informel,85091,1,Biyong,Cécile,cé.biyo.m60@gmail.com,Master/Grande école,Employé secteur informel,39133,6,124224,4,0,Partiel
61,61,1,Dubois,Roger,ro.dubo.p61@gmail.com,Doctorat,Cadre supérieur,406453,1,Richard,Victoire,vi.rich.m61@gmail.com,Doctorat,Cadre supérieur,470726,3,877179,4,0,Partiel
62,62,1,Mbouck,Albert,al.mbou.p62@gmail.com,BEPC/FSLC,Fonctionnaire,136159,1,Okafor,Adèle,ad.okaf.m62@gmail.com,Primaire,Employé secteur informel,65283,7,201442,5,0,Total
63,63,1,Essama,Etienne,et.essa.p63@gmail.com,Baccalauréat,Fonctionnaire,146350,1,Camara,Suzanne,su.cama.m63@gmail.com,Primaire,Cadre moyen,285318,7,431668,4,0,Total
64,64,1,Gomis,Laurent,la.gomi.p64@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,34664,1,Gomis,Julienne,ju.gomi.m64@gmail.com,Primaire,Employé secteur informel,68240,6,102904,4,0,Partiel
65,65,1,Vidal,Henri,he.vida.p65@gmail.com,Master/Grande école,Cadre supérieur,828916,0,Mbouck,Hélène,hé.mbou.m65@gmail.com,Baccalauréat,Chef d'entreprise,1605093,6,2434009,1,1,Partiel
66,66,0,Vidal,Paul,pa.vida.p66@gmail.com,Primaire,Cadre moyen,191914,1,Zobel,Thérèse,th.zobe.m66@gmail.com,BEPC/FSLC,Employé secteur informel,96614,7,288528,5,0,Partiel
67,67,1,Nyobe,Emmanuel,em.nyob.p67@gmail.com,Baccalauréat,Fonctionnaire,114121,1,Nyobe,Adèle,ad.nyob.m67@gmail.com,BTS/DUT,Fonctionnaire,177152,9,291273,4,0,Total
68,68,1,Tchio,Clément,cl.tchi.p68@gmail.com,Baccalauréat,Employé secteur informel,98708,1,Tchio,Blandine,bl.tchi.m68@gmail.com,BEPC/FSLC,Cadre moyen,248838,3,347546,4,0,Aucun
69,69,1,Ebene,Joseph,jo.eben.p69@gmail.com,Licence,Cadre supérieur,838172,1,Ebene,Julienne,ju.eben.m69@gmail.com,BEPC/FSLC,Ouvrier/Artisan,102679,4,940851,2,0,Total
70,70,1,Manga,Charles,ch.mang.p70@gmail.com,Baccalauréat,Employé secteur informel,51081,1,Manga,Marguerite,ma.mang.m70@gmail.com,BTS/DUT,Fonctionnaire,166005,8,217086,3,0,Partiel
71,71,1,Feudjio,Alphonse,,Baccalauréat,Agriculteur/Éleveur,67188,0,Feudjio,Christine,ch.feud.m71@gmail.com,BTS/DUT,Fonctionnaire,153792,2,220980,2,0,Total
72,72,0,Nguema,Charles,ch.ngue.p72@gmail.com,Master/Grande école,Fonctionnaire,119903,1,Tchamba,Odette,,Baccalauréat,Ouvrier/Artisan,103956,3,223859,5,0,Total
73,73,1,Toure,Alphonse,al.tour.p73@gmail.com,BEPC/FSLC,Cadre moyen,299085,1,Ndzana,Yvette,yv.ndza.m73@gmail.com,Licence,Fonctionnaire,131809,3,430894,3,0,Total
74,74,1,Leroy,Etienne,et.lero.p74@gmail.com,Primaire,Cadre supérieur,585977,1,Richard,Christine,ch.rich.m74@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,65295,1,651272,5,0,Partiel
75,75,1,Dupont,Etienne,et.dupo.p75@gmail.com,BTS/DUT,Cadre moyen,392128,1,Dupont,Victoire,vi.dupo.m75@gmail.com,Baccalauréat,Cadre moyen,305496,2,697624,2,0,Total
76,76,1,Mbarga,Albert,al.mbar.p76@gmail.com,Primaire,Cadre supérieur,620055,1,Mbarga,Marie,ma.mbar.m76@gmail.com,Baccalauréat,Employé secteur informel,48813,4,668868,3,0,Total
77,77,1,Tchio,Charles,ch.tchi.p77@gmail.com,Baccalauréat,Cadre supérieur,618883,1,Tchio,Adèle,ad.tchi.m77@gmail.com,Baccalauréat,Cadre moyen,273575,7,892458,5,0,Total
78,78,0,Issa,André,an.issa.p78@gmail.com,Licence,Fonctionnaire,191737,1,Feudjio,Rosalie,ro.feud.m78@gmail.com,Doctorat,Chef d'entreprise,1579098,3,1770835,1,0,Total
79,79,1,Umba,Georges,,BEPC/FSLC,Fonctionnaire,193146,1,Wamba,Marie,ma.wamb.m79@gmail.com,BTS/DUT,Agriculteur/Éleveur,73330,8,266476,2,1,Partiel
80,80,1,Toure,Charles,ch.tour.p80@gmail.com,Master/Grande école,Cadre moyen,332916,1,Umba,Suzanne,su.umba.m80@gmail.com,Licence,Employé secteur informel,75307,6,408223,1,0,Partiel
81,81,1,Bernard,Roger,ro.bern.p81@gmail.com,Primaire,Sans emploi,4577,1,Onana,Julienne,ju.onan.m81@gmail.com,Baccalauréat,Agriculteur/Éleveur,84057,5,88634,5,0,Partiel
82,82,1,Tchamba,Jean,je.tcha.p82@gmail.com,BTS/DUT,Fonctionnaire,98011,1,Tchamba,Suzanne,,BTS/DUT,Fonctionnaire,175170,3,273181,5,0,Partiel
83,83,0,Bello,Alphonse,al.bell.p83@gmail.com,BTS/DUT,Employé secteur informel,36086,1,Essama,Angèle,an.essa.m83@gmail.com,Aucun,Cadre moyen,279003,6,315089,2,0,Partiel
84,84,1,Vidal,Clément,cl.vida.p84@gmail.com,BEPC/FSLC,Employé secteur informel,44578,1,Vidal,Victoire,vi.vida.m84@gmail.com,Licence,Ouvrier/Artisan,49504,4,94082,4,0,Total
85,85,1,Haidara,Victor,vi.haid.p85@gmail.com,Baccalauréat,Fonctionnaire,214464,1,Nyobe,Christine,ch.nyob.m85@gmail.com,BEPC/FSLC,Cadre moyen,393740,6,608204,4,0,Total
86,86,1,Biyong,Joseph,jo.biyo.p86@gmail.com,Baccalauréat,Agriculteur/Éleveur,87188,1,Biyong,Colette,co.biyo.m86@gmail.com,BEPC/FSLC,Ouvrier/Artisan,86810,2,173998,5,0,Partiel
87,87,1,Vidal,Armand,ar.vida.p87@gmail.com,Baccalauréat,Cadre moyen,331005,1,Petit,Madeleine,ma.peti.m87@gmail.com,Aucun,Cadre moyen,382809,6,713814,3,1,Total
88,88,1,Camara,Victor,vi.cama.p88@gmail.com,BTS/DUT,Employé secteur informel,63460,1,Camara,Brigitte,br.cama.m88@gmail.com,BTS/DUT,Employé secteur informel,65990,6,129450,2,0,Total
89,89,1,Okafor,Laurent,la.okaf.p89@gmail.com,Baccalauréat,Sans emploi,9848,1,Okafor,Suzanne,su.okaf.m89@gmail.com,Baccalauréat,Fonctionnaire,101340,6,111188,5,1,Partiel
90,90,1,Ebene,Roger,ro.eben.p90@gmail.com,Baccalauréat,Cadre supérieur,829480,1,Mbouck,Jeanne,je.mbou.m90@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,56576,8,886056,2,0,Total
91,91,1,Jourdain,Marcel,ma.jour.p91@gmail.com,BTS/DUT,Ouvrier/Artisan,50654,1,Jourdain,Brigitte,br.jour.m91@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,48968,6,99622,1,0,Aucun
92,92,1,Medjo,Georges,ge.medj.p92@gmail.com,BEPC/FSLC,Ouvrier/Artisan,79153,1,Medjo,Thérèse,th.medj.m92@gmail.com,Baccalauréat,Cadre moyen,243725,7,322878,2,0,Total
93,93,1,Martin,Victor,vi.mart.p93@gmail.com,Licence,Cadre supérieur,649241,1,Martin,Martine,ma.mart.m93@gmail.com,Master/Grande école,Cadre supérieur,420912,4,1070153,2,0,Total
94,94,1,Moreau,Patrice,pa.more.p94@gmail.com,BTS/DUT,Sans emploi,20,0,Nguema,Julienne,ju.ngue.m94@gmail.com,Baccalauréat,Fonctionnaire,175916,2,175936,3,0,Total
95,95,0,Rodrigues,Victor,vi.rodr.p95@gmail.com,BEPC/FSLC,Employé secteur informel,62848,1,Penda,Odette,od.pend.m95@gmail.com,Aucun,Ouvrier/Artisan,84125,4,146973,2,0,Aucun
96,96,1,Mvondo,Georges,ge.mvon.p96@gmail.com,BTS/DUT,Cadre supérieur,551566,1,Mvondo,Rose,ro.mvon.m96@gmail.com,BEPC/FSLC,Fonctionnaire,101383,6,652949,3,0,Total
97,97,1,Nkeng,Henri,,Aucun,Cadre moyen,247373,1,Nkeng,Suzanne,su.nken.m97@gmail.com,Master/Grande école,Ouvrier/Artisan,78822,4,326195,4,0,Aucun
98,98,1,Mbarga,Henri,,Baccalauréat,Cadre moyen,257153,1,Mbarga,Victoire,vi.mbar.m98@gmail.com,Baccalauréat,Fonctionnaire,123441,4,380594,3,0,Partiel
99,99,1,Richard,Roger,ro.rich.p99@gmail.com,Aucun,Fonctionnaire,203900,1,Richard,Martine,ma.rich.m99@gmail.com,Master/Grande école,Employé secteur informel,77930,5,281830,2,0,Partiel
100,100,1,Ebene,Emmanuel,,Baccalauréat,Fonctionnaire,189680,1,Ebene,Suzanne,su.eben.m100@gmail.com,Baccalauréat,Chef d'entreprise,269425,4,459105,5,0,Partiel
101,101,1,Tchio,Charles,ch.tchi.p101@gmail.com,Licence,Fonctionnaire,142108,1,Dubois,Pauline,pa.dubo.m101@gmail.com,Doctorat,Ouvrier/Artisan,94251,2,236359,4,0,Total
102,102,0,Lobe,Jean,je.lobe.p102@gmail.com,Baccalauréat,Ouvrier/Artisan,48607,1,Lobe,Marie,ma.lobe.m102@gmail.com,BEPC/FSLC,Fonctionnaire,200662,4,249269,5,0,Total
103,103,1,Lobe,Victor,vi.lobe.p103@gmail.com,Primaire,Agriculteur/Éleveur,63162,1,Lobe,Madeleine,ma.lobe.m103@gmail.com,BEPC/FSLC,Employé secteur informel,67521,6,130683,1,0,Partiel
104,104,1,Martin,Laurent,,Licence,Ouvrier/Artisan,79151,1,Michel,Cécile,cé.mich.m104@gmail.com,Licence,Agriculteur/Éleveur,25976,7,105127,4,0,Total
105,105,1,Bernard,Clément,cl.bern.p105@gmail.com,Licence,Ouvrier/Artisan,84641,1,Atangana,Jeanne,je.atan.m105@gmail.com,Primaire,Chef d'entreprise,1613274,5,1697915,3,0,Total
106,106,1,Martin,Albert,al.mart.p106@gmail.com,BEPC/FSLC,Ouvrier/Artisan,89509,1,Martin,Madeleine,ma.mart.m106@gmail.com,Baccalauréat,Agriculteur/Éleveur,45678,4,135187,3,1,Partiel
107,107,1,Nkeng,Jean,je.nken.p107@gmail.com,Licence,Ouvrier/Artisan,98646,1,Nkeng,Marguerite,ma.nken.m107@gmail.com,Primaire,Employé secteur informel,96429,7,195075,3,0,Aucun
108,108,1,Etoundi,Jean,je.etou.p108@gmail.com,Baccalauréat,Ouvrier/Artisan,107273,1,Zobel,Pauline,pa.zobe.m108@gmail.com,Licence,Cadre moyen,316669,8,423942,2,0,Partiel
109,109,1,Dubois,Armand,ar.dubo.p109@gmail.com,Primaire,Agriculteur/Éleveur,87181,1,Dubois,Martine,ma.dubo.m109@gmail.com,BTS/DUT,Fonctionnaire,137467,4,224648,4,0,Total
110,110,1,Umba,Victor,vi.umba.p110@gmail.com,BTS/DUT,Cadre moyen,348369,1,Umba,Suzanne,su.umba.m110@gmail.com,Master/Grande école,Agriculteur/Éleveur,37430,6,385799,5,0,Total
111,111,1,Bello,Théodore,th.bell.p111@gmail.com,BEPC/FSLC,Cadre moyen,292137,0,Abomo,Marguerite,ma.abom.m111@gmail.com,BEPC/FSLC,Cadre moyen,345687,3,637824,4,0,Partiel
112,112,1,Dupont,Pierre,pi.dupo.p112@gmail.com,Licence,Cadre supérieur,843124,1,Kamga,Pauline,pa.kamg.m112@gmail.com,BTS/DUT,Chef d'entreprise,1753880,3,2597004,4,0,Total
113,113,1,Issa,Pierre,pi.issa.p113@gmail.com,Licence,Cadre moyen,238154,1,Tchamba,Marie,ma.tcha.m113@gmail.com,Aucun,Ouvrier/Artisan,65510,6,303664,4,1,Total
114,114,0,Simon,Georges,ge.simo.p114@gmail.com,Licence,Employé secteur informel,88137,0,Simon,Rose,ro.simo.m114@gmail.com,Primaire,Ouvrier/Artisan,46933,4,135070,4,0,Partiel
115,115,1,Ndzana,Alphonse,al.ndza.p115@gmail.com,BEPC/FSLC,Employé secteur informel,95189,1,Toure,Brigitte,br.tour.m115@gmail.com,BEPC/FSLC,Employé secteur informel,98537,7,193726,5,0,Total
116,116,1,Mbouck,Charles,,Aucun,Ouvrier/Artisan,53112,1,Mbouck,Julienne,ju.mbou.m116@gmail.com,Baccalauréat,Fonctionnaire,139325,5,192437,1,0,Aucun
117,117,1,Diallo,Emmanuel,em.dial.p117@gmail.com,BTS/DUT,Agriculteur/Éleveur,76821,1,Diallo,Pauline,pa.dial.m117@gmail.com,Master/Grande école,Cadre supérieur,354444,5,431265,2,0,Partiel
118,118,1,Robert,Alphonse,al.robe.p118@gmail.com,Baccalauréat,Fonctionnaire,192876,1,Samba,Victoire,vi.samb.m118@gmail.com,BEPC/FSLC,Employé secteur informel,52025,5,244901,5,0,Partiel
119,119,1,Onana,Gérard,gé.onan.p119@gmail.com,Primaire,Employé secteur informel,45138,1,Onana,Odette,od.onan.m119@gmail.com,BEPC/FSLC,Fonctionnaire,191779,3,236917,5,1,Aucun
120,120,1,Issa,Hervé,,BTS/DUT,Cadre supérieur,705875,1,Issa,Martine,ma.issa.m120@gmail.com,Master/Grande école,Cadre supérieur,891838,8,1597713,3,0,Total
121,121,1,Richard,André,an.rich.p121@gmail.com,BEPC/FSLC,Sans emploi,8056,1,Richard,Pauline,pa.rich.m121@gmail.com,Baccalauréat,Agriculteur/Éleveur,62048,6,70104,3,0,Total
122,122,1,Feudjio,Pierre,pi.feud.p122@gmail.com,Primaire,Ouvrier/Artisan,83247,1,Atangana,Martine,ma.atan.m122@gmail.com,Primaire,Agriculteur/Éleveur,75225,4,158472,3,0,Partiel
123,123,1,Thomas,Pierre,pi.thom.p123@gmail.com,BTS/DUT,Ouvrier/Artisan,62871,1,Thomas,Yvette,yv.thom.m123@gmail.com,BEPC/FSLC,Agriculteur/Éleveur,57380,4,120251,3,0,Partiel
124,124,1,Diallo,André,an.dial.p124@gmail.com,Primaire,Ouvrier/Artisan,63150,1,Diallo,Julienne,ju.dial.m124@gmail.com,BEPC/FSLC,Ouvrier/Artisan,67216,3,130366,5,1,Total
125,125,1,Tchio,Joseph,,BTS/DUT,Employé secteur informel,84865,1,Ebene,Victoire,,BTS/DUT,Ouvrier/Artisan,80997,4,165862,5,1,Partiel
