id_etudiant,matricule,email_etudiant,nom,prenom,genre,date_naissance,niveau_socio_economique,id_filiere,annee_entree,ville_origine,situation_matrimoniale,nb_enfants_a_charge,estime_de_soi,trait_personnalite,mention_baccalaureat,serie_terminale,decrochage_anterieur,frequence_etude_lecons,interet_lecture_ecriture
30,ETU0030,ftchio0030@hotmail.fr,Tchio,Flore,F,2000-08-02,Faible,10,2022,Ngaoundéré,Célibataire,1,Faible,Extraverti,Passable,A,0,Intensivement,Élevé
31,ETU0031,vincent.medjo0031@yahoo.fr,Medjo,Vincent,M,2004-06-21,Moyen,8,2020,Maroua,Célibataire,1,Moyenne,Extraverti,Très Bien,D,0,Intensivement,Faible
32,ETU0032,carlosv0032@yahoo.fr,Vidal,Carlos,M,1998-05-12,Moyen,3,2021,Maroua,Célibataire,0,Moyenne,Introverti,Passable,D,0,Rarement,Élevé
33,ETU0033,retoundi0033@yahoo.fr,Etoundi,Reine,F,1998-08-10,Moyen,3,2020,Ngaoundéré,Divorcé(e),1,Élevée,Introverti,Très Bien,D,0,Parfois,Moyen
34,ETU0034,nollet0034@yahoo.fr,Toure,Noëlle,F,2002-01-27,Moyen,5,2020,Garoua,En couple,0,Élevée,Consciencieux,Très Bien,D,0,Intensivement,Élevé
35,ETU0035,pascal.rodrigues0035@outlook.com,Rodrigues,Pascal,M,2000-11-04,Élevé,1,2022,Maroua,Célibataire,0,Élevée,Anxieux,Passable,C,0,Intensivement,Moyen
36,ETU0036,quentin.ndzana0036@orange.cm,Ndzana,Quentin,M,2005-05-24,Élevé,2,2023,Maroua,Célibataire,0,Élevée,Extraverti,Bien,D,0,Parfois,Élevé
37,ETU0037,dzobel0037@outlook.com,Zobel,Didier,M,2002-10-13,Élevé,6,2020,Ngaoundéré,En couple,2,Faible,Extraverti,Assez Bien,F,0,Intensivement,Moyen
38,ETU0038,icamara0038@gmail.com,Camara,Ibrahim,M,1998-05-16,Faible,4,2021,Ngaoundéré,Célibataire,0,Moyenne,Ambiverti,Très Bien,D,0,Régulièrement,Faible
39,ETU0039,carolea0039@gmail.com,Abomo,Carole,F,2003-04-15,Moyen,4,2022,Garoua,Marié(e),1,Moyenne,Introverti,Assez Bien,A,0,Intensivement,Élevé
40,ETU0040,davidt0040@hotmail.fr,Tchio,David,M,2003-04-05,Moyen,4,2020,Bafoussam,Célibataire,1,Moyenne,Introverti,Bien,C,0,Parfois,Élevé
41,ETU0041,lhaidara0041@gmail.com,Haidara,Laura,F,1998-03-01,Moyen,4,2022,Yaoundé,Célibataire,0,Faible,Ambiverti,Assez Bien,D,0,Régulièrement,Élevé
42,ETU0042,fessama0042@yahoo.fr,Essama,Françoise,F,1998-01-16,Élevé,7,2020,Maroua,Célibataire,0,Moyenne,Anxieux,Assez Bien,A,0,Parfois,Élevé
43,ETU0043,irne.garcia0043@yahoo.fr,Garcia,Irène,F,2004-02-26,Moyen,9,2021,Bertoua,Célibataire,2,Moyenne,Consciencieux,Assez Bien,D,0,Régulièrement,Moyen
44,ETU0044,franoiso0044@yahoo.fr,Onana,François,M,1999-02-14,Faible,6,2021,Maroua,Célibataire,2,Élevée,Introverti,Bien,D,0,Parfois,Élevé
45,ETU0045,ygomis0045@hotmail.fr,Gomis,Yvonne,F,2001-03-22,Moyen,2,2022,Maroua,Célibataire,0,Faible,Ambiverti,Passable,D,0,Parfois,Élevé
46,ETU0046,louiss0046@gmail.com,Samba,Louis,M,2002-06-12,Faible,3,2023,Douala,Célibataire,1,Moyenne,Consciencieux,Bien,C,0,Jamais,Faible
47,ETU0047,jkamga0047@yahoo.fr,Kamga,Jean,M,1998-11-03,Faible,7,2023,Ngaoundéré,Célibataire,0,Faible,Introverti,Passable,D,0,Régulièrement,Moyen
48,ETU0048,alain.nguema0048@gmail.com,Nguema,Alain,M,2002-04-25,Faible,5,2022,Yaoundé,Célibataire,0,Moyenne,Extraverti,Passable,D,0,Parfois,Moyen
49,ETU0049,brobert0049@gmail.com,Robert,Béatrice,F,1999-06-19,Moyen,7,2023,Ngaoundéré,Célibataire,1,Faible,Introverti,Bien,D,0,Parfois,Élevé
50,ETU0050,zacharie.umba0050@yahoo.fr,Umba,Zacharie,M,2003-04-11,Moyen,2,2020,Douala,Célibataire,0,Élevée,Ambiverti,Bien,G,0,Parfois,Moyen
51,ETU0051,armands0051@hotmail.fr,Simon,Armand,M,2005-10-25,Moyen,10,2022,Yaoundé,Célibataire,0,Moyenne,Ambiverti,Assez Bien,D,0,Parfois,Moyen
52,ETU0052,xaviero0052@yahoo.fr,Onana,Xavier,M,2002-02-21,Élevé,2,2023,Bertoua,Célibataire,0,Élevée,Anxieux,Passable,F,0,Intensivement,Moyen
53,ETU0053,vincentn0053@orange.cm,Nyobe,Vincent,M,1999-09-21,Faible,4,2023,Douala,Célibataire,1,Moyenne,Ambiverti,Assez Bien,C,0,Rarement,Faible
54,ETU0054,gracem0054@gmail.com,Moreau,Grace,F,2004-05-09,Moyen,10,2021,Bamenda,Célibataire,0,Moyenne,Ambiverti,Assez Bien,D,0,Intensivement,Faible
55,ETU0055,clment.abomo0055@gmail.com,Abomo,Clément,M,1999-11-22,Moyen,6,2020,Yaoundé,Célibataire,1,Élevée,Ambiverti,Bien,C,0,Parfois,Faible
56,ETU0056,adle.issa0056@outlook.com,Issa,Adèle,F,2004-03-06,Faible,10,2021,Bertoua,Célibataire,0,Moyenne,Extraverti,Passable,D,0,Régulièrement,Moyen
57,ETU0057,xavier.biyong0057@orange.cm,Biyong,Xavier,M,2005-08-25,Faible,7,2023,Maroua,Célibataire,1,Élevée,Anxieux,Passable,D,0,Rarement,Moyen
58,ETU0058,ksamba0058@hotmail.fr,Samba,Kevin,M,2005-09-05,Élevé,2,2021,Bamenda,Célibataire,0,Élevée,Introverti,Assez Bien,C,0,Régulièrement,Moyen
59,ETU0059,ibrahim.camara0059@yahoo.fr,Camara,Ibrahim,M,2002-08-23,Élevé,8,2023,Garoua,En couple,0,Faible,Introverti,Passable,F,0,Parfois,Élevé
60,ETU0060,christellet0060@yahoo.fr,Tchio,Christelle,F,2005-02-04,Élevé,8,2020,Douala,Célibataire,0,Moyenne,Anxieux,Assez Bien,D,0,Parfois,Élevé
61,ETU0061,yann.richard0061@gmail.com,Richard,Yann,M,1998-11-13,Élevé,5,2020,Bafoussam,Célibataire,0,Moyenne,Consciencieux,Assez Bien,G,0,Intensivement,Moyen
62,ETU0062,madeleine.richard0062@gmail.com,Richard,Madeleine,F,2000-03-03,Moyen,8,2020,Maroua,Célibataire,0,Élevée,Ambiverti,Assez Bien,C,0,Intensivement,Élevé
63,ETU0063,dessama0063@outlook.com,Essama,Diane,F,2003-05-04,Moyen,7,2023,Bafoussam,Célibataire,0,Moyenne,Extraverti,Bien,C,0,Rarement,Moyen
64,ETU0064,vgomis0064@gmail.com,Gomis,Valérie,F,1999-06-22,Faible,8,2023,Ngaoundéré,Divorcé(e),2,Moyenne,Introverti,Très Bien,C,0,Jamais,Faible
65,ETU0065,irne.mbouck0065@gmail.com,Mbouck,Irène,F,2000-01-05,Élevé,8,2020,Bafoussam,Marié(e),0,Élevée,Consciencieux,Assez Bien,D,0,Régulièrement,Élevé
66,ETU0066,blandinev0066@yahoo.fr,Vidal,Blandine,F,2002-04-04,Faible,3,2023,Douala,Divorcé(e),0,Faible,Introverti,Bien,C,0,Régulièrement,Moyen
67,ETU0067,lauran0067@outlook.com,Nyobe,Laura,F,2005-02-26,Moyen,6,2022,Garoua,En couple,0,Moyenne,Introverti,Bien,D,0,Intensivement,Moyen
68,ETU0068,patrickt0068@hotmail.fr,Tchio,Patrick,M,2005-01-12,Moyen,6,2023,Bafoussam,Célibataire,0,Faible,Ambiverti,Passable,C,0,Intensivement,Moyen
69,ETU0069,emmanuella.ebene0069@outlook.com,Ebene,Emmanuella,F,2005-08-22,Moyen,3,2021,Maroua,Célibataire,1,Moyenne,Extraverti,Passable,A,0,Intensivement,Faible
70,ETU0070,quentin.manga0070@yahoo.fr,Manga,Quentin,M,2002-03-21,Moyen,9,2020,Douala,Marié(e),0,Moyenne,Anxieux,Passable,D,0,Régulièrement,Moyen
71,ETU0071,blaisef0071@yahoo.fr,Feudjio,Blaise,M,2002-11-07,Moyen,7,2020,Ngaoundéré,Célibataire,0,Moyenne,Introverti,Assez Bien,C,0,Régulièrement,Moyen
72,ETU0072,franoise.nguema0072@orange.cm,Nguema,Françoise,F,2003-10-05,Moyen,6,2022,Ngaoundéré,Célibataire,0,Élevée,Anxieux,Passable,C,0,Régulièrement,Moyen
73,ETU0073,kndzana0073@orange.cm,Ndzana,Kevin,M,2003-10-24,Moyen,3,2023,Bertoua,Célibataire,0,Moyenne,Introverti,Passable,F,0,Parfois,Élevé
74,ETU0074,tleroy0074@outlook.com,Leroy,Thérèse,F,1998-02-14,Faible,5,2022,Douala,Célibataire,0,Faible,Consciencieux,Assez Bien,C,0,Jamais,Moyen
75,ETU0075,gdupont0075@yahoo.fr,Dupont,Georges,M,2003-06-18,Élevé,3,2021,Bamenda,Célibataire,0,Élevée,Extraverti,Passable,C,0,Rarement,Élevé
76,ETU0076,zmbarga0076@outlook.com,Mbarga,Zacharie,M,2002-10-11,Moyen,9,2023,Bertoua,Marié(e),1,Moyenne,Ambiverti,Assez Bien,A,0,Jamais,Moyen
77,ETU0077,emmanuellat0077@gmail.com,Tchio,Emmanuella,F,2001-12-02,Moyen,3,2023,Bertoua,Célibataire,0,Moyenne,Ambiverti,Bien,C,0,Régulièrement,Moyen
78,ETU0078,florent.issa0078@gmail.com,Issa,Florent,M,2001-09-11,Élevé,8,2023,Garoua,En couple,0,Élevée,Ambiverti,Assez Bien,D,0,Régulièrement,Élevé
79,ETU0079,mumba0079@gmail.com,Umba,Marguerite,F,2001-05-25,Faible,4,2023,Bafoussam,Marié(e),0,Moyenne,Extraverti,Bien,C,0,Intensivement,Moyen
80,ETU0080,carolet0080@gmail.com,Toure,Carole,F,1999-06-15,Moyen,8,2021,Garoua,Célibataire,2,Moyenne,Introverti,Passable,A,0,Régulièrement,Moyen
81,ETU0081,georges.bernard0081@orange.cm,Bernard,Georges,M,2003-12-16,Faible,3,2020,Douala,Célibataire,0,Moyenne,Anxieux,Très Bien,D,0,Intensivement,Élevé
82,ETU0082,itchamba0082@orange.cm,Tchamba,Isidore,M,1998-03-14,Élevé,3,2020,Bamenda,Célibataire,0,Élevée,Anxieux,Bien,G,0,Parfois,Faible
83,ETU0083,fessama0083@hotmail.fr,Essama,Françoise,F,2005-03-28,Moyen,5,2021,Ngaoundéré,Célibataire,1,Faible,Introverti,Passable,C,0,Parfois,Élevé
84,ETU0084,irne.vidal0084@gmail.com,Vidal,Irène,F,1999-07-22,Faible,3,2023,Garoua,Célibataire,0,Faible,Extraverti,Assez Bien,C,0,Parfois,Moyen
85,ETU0085,clmenth0085@outlook.com,Haidara,Clément,M,2005-05-06,Moyen,9,2022,Bertoua,En couple,0,Élevée,Extraverti,Assez Bien,C,0,Parfois,Faible
86,ETU0086,patrick.biyong0086@ymail.com,Biyong,Patrick,M,1999-09-15,Moyen,6,2020,Bertoua,Célibataire,0,Faible,Introverti,Assez Bien,D,0,Régulièrement,Moyen
87,ETU0087,gabrielp0087@yahoo.fr,Petit,Gabriel,M,1998-08-05,Moyen,8,2020,Yaoundé,Célibataire,0,Élevée,Introverti,Assez Bien,G,0,Régulièrement,Moyen
88,ETU0088,ecamara0088@orange.cm,Camara,Eric,M,2002-07-06,Moyen,7,2022,Ngaoundéré,Célibataire,1,Moyenne,Introverti,Assez Bien,A,0,Intensivement,Élevé
89,ETU0089,grard.okafor0089@yahoo.fr,Okafor,Gérard,M,1998-01-10,Moyen,9,2023,Yaoundé,En couple,0,Moyenne,Consciencieux,Passable,F,0,Parfois,Faible
90,ETU0090,nebene0090@outlook.com,Ebene,Nicolas,M,1999-10-02,Moyen,1,2021,Bamenda,Célibataire,2,Moyenne,Ambiverti,Bien,G,0,Régulièrement,Élevé
91,ETU0091,tjourdain0091@yahoo.fr,Jourdain,Thomas,M,2001-07-10,Faible,9,2021,Bafoussam,Célibataire,0,Moyenne,Extraverti,Assez Bien,D,0,Jamais,Moyen
92,ETU0092,pmedjo0092@yahoo.fr,Medjo,Patricia,F,2001-05-28,Moyen,8,2020,Garoua,En couple,0,Moyenne,Consciencieux,Passable,C,0,Rarement,Élevé
93,ETU0093,rmartin0093@yahoo.fr,Martin,Rodrigue,M,1998-02-07,Élevé,10,2021,Garoua,En couple,2,Moyenne,Consciencieux,Passable,C,0,Intensivement,Élevé
94,ETU0094,patriciam0094@gmail.com,Moreau,Patricia,F,2003-05-13,Moyen,6,2022,Garoua,Célibataire,0,Élevée,Introverti,Bien,D,0,Parfois,Moyen
95,ETU0095,bruno.rodrigues0095@yahoo.fr,Rodrigues,Bruno,M,2004-05-05,Faible,4,2023,Bamenda,Célibataire,0,Moyenne,Introverti,Bien,C,0,Régulièrement,Élevé
96,ETU0096,ibrahim.mvondo0096@hotmail.fr,Mvondo,Ibrahim,M,2005-03-18,Élevé,1,2020,Bamenda,Célibataire,0,Élevée,Ambiverti,Bien,D,0,Régulièrement,Moyen
97,ETU0097,pascaln0097@gmail.com,Nkeng,Pascal,M,2005-11-16,Faible,9,2023,Bafoussam,Marié(e),0,Moyenne,Anxieux,Passable,D,0,Parfois,Moyen
98,ETU0098,mmbarga0098@orange.cm,Mbarga,Marc,M,2002-06-09,Moyen,2,2022,Ngaoundéré,En couple,1,Moyenne,Introverti,Passable,D,0,Intensivement,Élevé
99,ETU0099,margueriter0099@hotmail.fr,Richard,Marguerite,F,1998-11-01,Moyen,2,2023,Bertoua,Célibataire,1,Élevée,Anxieux,Bien,A,0,Régulièrement,Faible
100,ETU0100,carole.ebene0100@gmail.com,Ebene,Carole,F,2002-09-19,Moyen,3,2022,Bamenda,Célibataire,1,Moyenne,Extraverti,Bien,C,1,Régulièrement,Faible
101,ETU0101,isabelle.tchio0101@yahoo.fr,Tchio,Isabelle,F,1999-09-24,Élevé,1,2020,Bamenda,Célibataire,3,Moyenne,Ambiverti,Très Bien,C,0,Intensivement,Faible
102,ETU0102,danielle.lobe0102@gmail.com,Lobe,Danielle,F,2004-02-25,Moyen,4,2020,Douala,Marié(e),0,Moyenne,Consciencieux,Passable,C,0,Régulièrement,Faible
103,ETU0103,flobe0103@gmail.com,Lobe,François,M,2004-08-18,Moyen,7,2020,Garoua,En couple,1,Moyenne,Ambiverti,Bien,G,1,Régulièrement,Moyen
104,ETU0104,dmartin0104@gmail.com,Martin,Désiré,M,2000-03-09,Moyen,8,2021,Bafoussam,Célibataire,0,Moyenne,Ambiverti,Bien,C,0,Parfois,Élevé
105,ETU0105,aliced0105@gmail.com,Dupont,Alice,F,2003-10-13,Élevé,6,2023,Bertoua,Marié(e),2,Élevée,Extraverti,Assez Bien,F,0,Parfois,Moyen
106,ETU0106,ulrichm0106@yahoo.fr,Martin,Ulrich,M,2002-07-12,Faible,10,2021,Ngaoundéré,En couple,1,Faible,Introverti,Passable,D,0,Régulièrement,Faible
107,ETU0107,isabellen0107@gmail.com,Nkeng,Isabelle,F,2002-04-09,Moyen,7,2023,Douala,En couple,0,Moyenne,Anxieux,Assez Bien,F,0,Parfois,Moyen
108,ETU0108,petoundi0108@orange.cm,Etoundi,Patrick,M,2003-03-21,Moyen,10,2023,Ngaoundéré,Célibataire,0,Élevée,Extraverti,Passable,C,0,Parfois,Moyen
109,ETU0109,josphine.dubois0109@ymail.com,Dubois,Joséphine,F,2000-06-01,Moyen,5,2023,Bertoua,Célibataire,0,Faible,Extraverti,Passable,C,0,Intensivement,Moyen
110,ETU0110,lise.umba0110@outlook.com,Umba,Élise,F,1998-12-04,Faible,6,2020,Bafoussam,Célibataire,1,Élevée,Ambiverti,Assez Bien,D,0,Régulièrement,Moyen
111,ETU0111,blandineb0111@gmail.com,Bello,Blandine,F,2001-08-19,Moyen,1,2021,Bamenda,Célibataire,0,Élevée,Anxieux,Passable,G,0,Rarement,Moyen
112,ETU0112,adled0112@hotmail.fr,Dupont,Adèle,F,1999-06-12,Élevé,10,2021,Ngaoundéré,Célibataire,0,Élevée,Introverti,Assez Bien,D,0,Intensivement,Moyen
113,ETU0113,rissa0113@yahoo.fr,Issa,Rosalie,F,2004-07-06,Moyen,9,2021,Bertoua,Célibataire,0,Moyenne,Extraverti,Bien,D,0,Rarement,Élevé
114,ETU0114,josphine.simon0114@yahoo.fr,Simon,Joséphine,F,2004-12-27,Moyen,3,2020,Douala,En couple,0,Moyenne,Introverti,Assez Bien,C,0,Parfois,Élevé
115,ETU0115,laure.ndzana0115@orange.cm,Ndzana,Laure,F,2003-09-27,Moyen,8,2021,Douala,En couple,0,Élevée,Anxieux,Passable,G,1,Régulièrement,Moyen
116,ETU0116,nicolas.mbouck0116@outlook.com,Mbouck,Nicolas,M,2003-12-20,Moyen,3,2021,Douala,Célibataire,0,Élevée,Anxieux,Assez Bien,D,0,Régulièrement,Élevé
117,ETU0117,adiallo0117@gmail.com,Diallo,André,M,2002-11-05,Moyen,3,2021,Douala,Célibataire,0,Élevée,Ambiverti,Bien,D,0,Régulièrement,Moyen
118,ETU0118,irnet0118@yahoo.fr,Tchamba,Irène,F,2002-12-12,Moyen,8,2022,Bertoua,Célibataire,2,Faible,Consciencieux,Assez Bien,D,0,Intensivement,Élevé
119,ETU0119,valrieo0119@outlook.com,Onana,Valérie,F,2002-06-18,Moyen,10,2023,Ngaoundéré,Célibataire,0,Élevée,Anxieux,Assez Bien,G,1,Jamais,Élevé
120,ETU0120,tissa0120@outlook.com,Issa,Étienne,M,2002-03-28,Élevé,5,2020,Douala,En couple,0,Moyenne,Introverti,Assez Bien,A,0,Régulièrement,Élevé
121,ETU0121,nrichard0121@gmail.com,Richard,Nicolas,M,1999-03-19,Faible,8,2020,Maroua,En couple,0,Élevée,Extraverti,Assez Bien,A,1,Intensivement,Moyen
122,ETU0122,yann.feudjio0122@yahoo.fr,Feudjio,Yann,M,2000-11-22,Faible,9,2020,Douala,En couple,0,Moyenne,Introverti,Assez Bien,C,0,Régulièrement,Moyen
123,ETU0123,yvonnet0123@yahoo.fr,Thomas,Yvonne,F,2003-03-08,Faible,2,2021,Ngaoundéré,Célibataire,0,Moyenne,Introverti,Très Bien,A,0,Rarement,Élevé
124,ETU0124,emmanuella.diallo0124@yahoo.fr,Diallo,Emmanuella,F,2001-08-13,Faible,8,2020,Douala,Célibataire,1,Élevée,Anxieux,Passable,G,0,Intensivement,Moyen
125,ETU0125,michele0125@yahoo.fr,Ebene,Michel,M,1998-05-07,Faible,1,2023,Garoua,Célibataire,0,Moyenne,Introverti,Assez Bien,D,0,Régulièrement,Moyen
126,ETU0126,isidorev0126@outlook.com,Vidal,Isidore,M,2004-10-21,Moyen,2,2022,Bafoussam,Célibataire,0,Élevée,Consciencieux,Passable,F,0,Parfois,Moyen
127,ETU0127,alain.nyobe0127@gmail.com,Nyobe,Alain,M,2000-12-01,Faible,6,2022,Douala,Célibataire,0,Moyenne,Extraverti,Bien,A,0,Régulièrement,Faible
128,ETU0128,franoise.michel0128@gmail.com,Michel,Françoise,F,2003-01-16,Élevé,3,2022,Bafoussam,Célibataire,0,Élevée,Extraverti,Passable,D,1,Régulièrement,Élevé
129,ETU0129,carlosm0129@hotmail.fr,Moreau,Carlos,M,2004-04-11,Faible,6,2022,Maroua,Marié(e),0,Moyenne,Ambiverti,Très Bien,C,0,Parfois,Élevé
130,ETU0130,valrie.foko0130@outlook.com,Foko,Valérie,F,2005-01-12,Faible,10,2022,Ngaoundéré,En couple,0,Moyenne,Introverti,Assez Bien,G,0,Parfois,Élevé
131,ETU0131,olivierl0131@gmail.com,Leroy,Olivier,M,2003-11-27,Moyen,1,2022,Maroua,Marié(e),3,Moyenne,Introverti,Assez Bien,C,0,Régulièrement,Moyen
132,ETU0132,carloso0132@yahoo.fr,Okafor,Carlos,M,2004-12-12,Moyen,2,2020,Bamenda,Célibataire,0,Élevée,Consciencieux,Assez Bien,D,0,Rarement,Moyen
133,ETU0133,esther.samba0133@gmail.com,Samba,Esther,F,2001-02-07,Faible,10,2020,Maroua,Célibataire,1,Moyenne,Introverti,Passable,C,0,Rarement,Moyen
134,ETU0134,nicolaso0134@yahoo.fr,Onana,Nicolas,M,2003-03-03,Moyen,6,2023,Bafoussam,Célibataire,0,Moyenne,Introverti,Passable,F,0,Régulièrement,Moyen
135,ETU0135,adiallo0135@yahoo.fr,Diallo,Alain,M,2001-03-07,Élevé,6,2020,Douala,Célibataire,1,Élevée,Consciencieux,Très Bien,C,0,Parfois,Élevé
136,ETU0136,didierd0136@gmail.com,Diallo,Didier,M,2000-10-14,Élevé,7,2023,Bertoua,Célibataire,0,Élevée,Ambiverti,Très Bien,C,0,Régulièrement,Moyen
137,ETU0137,margueriter0137@yahoo.fr,Richard,Marguerite,F,1998-02-09,Moyen,7,2021,Bamenda,Célibataire,1,Moyenne,Extraverti,Assez Bien,A,0,Intensivement,Élevé
138,ETU0138,slobe0138@hotmail.fr,Lobe,Sophie,F,1998-06-20,Faible,5,2020,Yaoundé,Célibataire,1,Moyenne,Anxieux,Très Bien,F,1,Régulièrement,Moyen
139,ETU0139,lmedjo0139@gmail.com,Medjo,Laurent,M,2004-06-27,Élevé,3,2021,Bertoua,Célibataire,0,Élevée,Introverti,Très Bien,A,0,Régulièrement,Élevé
140,ETU0140,laura.simon0140@yahoo.fr,Simon,Laura,F,1998-02-02,Faible,4,2020,Bafoussam,En couple,0,Faible,Introverti,Bien,C,0,Parfois,Élevé
141,ETU0141,hzobel0141@gmail.com,Zobel,Henri,M,1999-06-23,Élevé,7,2020,Bamenda,Célibataire,2,Moyenne,Consciencieux,Très Bien,G,0,Parfois,Élevé
142,ETU0142,clment.dubois0142@gmail.com,Dubois,Clément,M,2000-07-10,Moyen,5,2021,Garoua,Célibataire,2,Élevée,Anxieux,Assez Bien,F,0,Intensivement,Faible
